product_title,product_url,brand,sales_price,mrp,discount_percent,number_of_ratings,number_of_reviews,type_of_oven,capacity_litres,model_name,star_rating
"IFB 25 L Convection Microwave Oven  (25BC3, Black)",https://www.flipkart.com/ifb-25-l-convection-microwave-oven/p/itmdwmvzahezhscr?pid=MRCGHRCFQCBEJDKX&lid=LSTMRCGHRCFQCBEJDKXFD8RMD&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_16&otracker=browse&iid=en_FeJTfpuX2I85Q8msQGYbwKArEgUzLIa8PhCHFYN1FgStFPtTxisgD1r3EyaQoqKJLkINx8Smwl%2F0GENKIvHcWA%3D%3D&ssid=me5nc1fnj40000001686492252251,IFB,12290,16190,24,18,4,Convection,25,25BC3,4.3
"LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",https://www.flipkart.com/lg-20-l-solo-microwave-oven/p/itmec7c5082a9fc9?pid=MRCDZ5VFEZFH8WDN&lid=LSTMRCDZ5VFEZFH8WDNZ4WTS5&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_17&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCDZ5VFEZFH8WDN.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,6290,7899,20,3611,319,Solo,20,MS2043DB.DB1QILN,4.4
"Haier 20 L Solo Microwave Oven  (HIL2001MWPH, Black)",https://www.flipkart.com/haier-20-l-solo-microwave-oven/p/itm51b52d3e5381e?pid=MRCFJM39X9DGRCCM&lid=LSTMRCFJM39X9DGRCCM6GTFAX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_18&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFJM39X9DGRCCM.SEARCH&ssid=me5nc1fnj40000001686492252251,Haier,4999,7999,37,1286,150,Solo,20,HIL2001MWPH,4.3
"IFB 20 L Solo Microwave Oven  (20PM-MEC2, White)",https://www.flipkart.com/ifb-20-l-solo-microwave-oven/p/itmb32d57970c78b?pid=MRCGBVSRDFEA8HHH&lid=LSTMRCGBVSRDFEA8HHHBQZM0F&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_19&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCGBVSRDFEA8HHH.SEARCH&ssid=me5nc1fnj40000001686492252251,IFB,5990,7190,16,157,9,Solo,20,20PM-MEC2,4.5
"IFB 25 L Metallic silver Convection Microwave Oven  (25SC4, Metallic Silver)",https://www.flipkart.com/ifb-25-l-metallic-silver-convection-microwave-oven/p/itmef2zteehmrvwq?pid=MRCEF2ZS7FGDSYKM&lid=LSTMRCEF2ZS7FGDSYKMVZEENQ&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_20&otracker=browse&iid=en_FeJTfpuX2I85Q8msQGYbwKArEgUzLIa8PhCHFYN1FgQCKfrUMo%2Fh%2Bfo7Who9ruQdR%2B8HzdecCdZ7Fh08ihn6lw%3D%3D&ssid=me5nc1fnj40000001686492252251,IFB,13490,16890,20,6671,823,Convection,25,25SC4,4.4
"IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",https://www.flipkart.com/ifb-20-l-solo-microwave-oven/p/itm44436cbe2eb7c?pid=MRCGA9TXFMKFG38U&lid=LSTMRCGA9TXFMKFG38UWM5ZP6&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_21&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCGA9TXFMKFG38U.SEARCH&ssid=me5nc1fnj40000001686492252251,IFB,6290,7290,13,499,29,Solo,20,20PM-MEC2B,4.4
"LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmejy9afxsgvzvh?pid=MRCEJY9AF8FJRZTB&lid=LSTMRCEJY9AF8FJRZTB4QNSB9&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_22&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCEJY9AF8FJRZTB.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,15690,22099,29,3426,493,Convection,28,MC2886BRUM,4.4
"LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmffd22683174de?pid=MRCF2UQHU8RQY4TT&lid=LSTMRCF2UQHU8RQY4TTTJVQFO&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_23&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCF2UQHU8RQY4TT.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,12690,16499,23,5321,589,Convection,28,MC2846BG.DBKQILN,4.4
"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SE black, Black)",https://www.flipkart.com/whirlpool-20-l-solo-microwave-oven/p/itm55e37900bfc42?pid=MRCFHW7R6ZYZPPJT&lid=LSTMRCFHW7R6ZYZPPJTTT2WQW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_24&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFHW7R6ZYZPPJT.SEARCH&ssid=me5nc1fnj40000001686492252251,Whirlpool,5950,7000,15,2213,182,Solo,20,MAGICOOK PRO 20SE black,4.2
"LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itm990403bd4cb89?pid=MRCFUXWCZ4H5QE5D&lid=LSTMRCFUXWCZ4H5QE5DJPUJGX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_25&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCFUXWCZ4H5QE5D.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,15499,21799,28,188,31,Convection,28,MC2886BPUM,4.6
"Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",https://www.flipkart.com/panasonic-27-l-convection-microwave-oven/p/itmegz8zzy66feze?pid=MRCEGZ8Y8X6FNTQU&lid=LSTMRCEGZ8Y8X6FNTQUFO8MID&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_26&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCEGZ8Y8X6FNTQU.SEARCH&ssid=wu09agxz9c0000001686492361328,Panasonic,11990,16190,25,1395,204,Convection,27,NN-CT645BFDG,4.4
"LG 21 L Convection Microwave Oven  (MC2146BV, Black)",https://www.flipkart.com/lg-21-l-convection-microwave-oven/p/itmew8zyhmdn8ezp?pid=MRCEW8ZYHPCUW8K9&lid=LSTMRCEW8ZYHPCUW8K9DL1ZHL&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_27&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCEW8ZYHPCUW8K9.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,10390,14499,28,2313,266,Convection,21,MC2146BV,4.4
"BAJAJ 23 L Convection & Grill Microwave Oven  (2310 ETC Convection Microwave Oven 23L, Black)",https://www.flipkart.com/bajaj-23-l-convection-grill-microwave-oven/p/itm12862b24c7eb2?pid=MRCG6FG9UHURMYDR&lid=LSTMRCG6FG9UHURMYDRWUNXC0&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_29&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCG6FG9UHURMYDR.SEARCH&ssid=wu09agxz9c0000001686492361328,BAJAJ,9499,17775,46,202,24,Convection & Grill,23,2310 ETC Convection Microwave Oven 23L,4.4
"LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itm1a4135ec361fc?pid=MRCGGJFYW4GCSJBF&lid=LSTMRCGGJFYW4GCSJBFGJV1FA&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_30&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCGGJFYW4GCSJBF.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,20989,25499,17,4,0,Convection,28,MJEN286UI,4.0
"SAMSUNG 28 L Convection Microwave Oven  (MC28A5025VP, Black with Pattern)",https://www.flipkart.com/samsung-28-l-convection-microwave-oven/p/itm2f7daba92aca8?pid=MRCGDAVXZXKCNBB8&lid=LSTMRCGDAVXZXKCNBB8OD60YD&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_31&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCGDAVXZXKCNBB8.SEARCH&ssid=wu09agxz9c0000001686492361328,SAMSUNG,14790,20990,29,603,50,Convection,28,MC28A5025VP,4.4
"IFB 20 L Metallic silver Convection Microwave Oven  (20SC2, Silver)",https://www.flipkart.com/ifb-20-l-metallic-silver-convection-microwave-oven/p/itmdwmvzxgbcdvg9?pid=MRCDWK8TMQCEGTYK&lid=LSTMRCDWK8TMQCEGTYKHQSFZU&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_32&otracker=browse&iid=en_DgpJD1W6RdrPrj2GkXBdJ5TQWAYnDaxp9kOTHOAp%2FhZrGL5K1vv0w4QGDmKpwnAHPW1NikCnT72sTL553oaIPA%3D%3D&ssid=wu09agxz9c0000001686492361328,IFB,10690,13490,20,9964,1228,Convection,20,20SC2,4.4
"LG 28 L Convection Microwave Oven  (MC2846SL, Silver)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmejy9azg8a4u9g?pid=MRCEJY9AMKNNGJ8Z&lid=LSTMRCEJY9AMKNNGJ8ZGMNORW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_33&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCEJY9AMKNNGJ8Z.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,12990,17699,26,3992,501,Convection,28,MC2846SL,4.4
"SAMSUNG 28 L Convection Microwave Oven  (MC28A5145VK/TL, Black)",https://www.flipkart.com/samsung-28-l-convection-microwave-oven/p/itmefcf22843baf0?pid=MRCG6M25YPKPANE3&lid=LSTMRCG6M25YPKPANE3D496SF&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_34&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCG6M25YPKPANE3.SEARCH&ssid=wu09agxz9c0000001686492361328,SAMSUNG,16600,18952,12,49,1,Convection,28,MC28A5145VK/TL,4.2
"LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmc09c38da1a784?pid=MRCFKRJ9PEH7KZGG&lid=LSTMRCFKRJ9PEH7KZGGTWMM3X&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_35&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCFKRJ9PEH7KZGG.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,12499,17990,30,60,5,Convection,28,MC2886BLT,4.2
"SAMSUNG 23 L Solo Microwave Oven  (MS23J5133AG/TL, Black)",https://www.flipkart.com/samsung-23-l-solo-microwave-oven/p/itmf65nfecd5gtwd?pid=MRCF65NFUZGT4FYN&lid=LSTMRCF65NFUZGT4FYN3YED4D&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_38&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCF65NFUZGT4FYN.SEARCH&ssid=wu09agxz9c0000001686492361328,SAMSUNG,7290,7990,8,8378,753,Solo,23,MS23J5133AG/TL,4.3
"MarQ by Flipkart 23 L Top Down Door with Low-Calorie Fry Convection Convection Microwave Oven  (23BMWCMQB, Black)",https://www.flipkart.com/marq-flipkart-23-l-top-down-door-low-calorie-fry-convection-microwave-oven/p/itm08ac83beac7db?pid=MRCGYYYEZAYZQRHJ&lid=LSTMRCGYYYEZAYZQRHJMKBAJS&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_39&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCGYYYEZAYZQRHJ.SEARCH&ssid=wu09agxz9c0000001686492361328,MarQ by Flipkart,7999,15299,47,253,26,Convection,23,23BMWCMQB,4.2
"Panasonic 20 L Grill Microwave Oven  (NN-GT221WFDG, White)",https://www.flipkart.com/panasonic-20-l-grill-microwave-oven/p/itmdwdmnahzgxvyh?pid=MRCDWBZXF5ENWDZB&lid=LSTMRCDWBZXF5ENWDZBLKNYQ5&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_41&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCDWBZXF5ENWDZB.SEARCH&ssid=wu09agxz9c0000001686492361328,Panasonic,8390,9590,12,1108,116,Grill,20,NN-GT221WFDG,4.4
"LG 20 L Grill Microwave Oven  (MH2044BP, Black)",https://www.flipkart.com/lg-20-l-grill-microwave-oven/p/itmab0c4416b506d?pid=MRCG6687ADGYQ2HH&lid=LSTMRCG6687ADGYQ2HHQCIO6C&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_42&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCG6687ADGYQ2HH.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,7590,10699,29,2973,291,Grill,20,MH2044BP,4.3
"Whirlpool 24 L Convection Microwave Oven  (Magicook Pro 26CE, Black)",https://www.flipkart.com/whirlpool-24-l-convection-microwave-oven/p/itm5885622459bcb?pid=MRCFVGQ7TCEHYPA2&lid=LSTMRCFVGQ7TCEHYPA2JEMDPL&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_43&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCFVGQ7TCEHYPA2.SEARCH&ssid=wu09agxz9c0000001686492361328,Whirlpool,11690,16770,30,401,35,Convection,24,Magicook Pro 26CE,4.2
"IFB 23 L Convection Microwave Oven  (23BC4, Black)",https://www.flipkart.com/ifb-23-l-convection-microwave-oven/p/itmef2ztequxvqa9?pid=MRCEF2ZSTQU9QBHT&lid=LSTMRCEF2ZSTQU9QBHTAJ9ZZA&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_45&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCEF2ZSTQU9QBHT.SEARCH&ssid=wu09agxz9c0000001686492361328,IFB,12599,15990,21,7788,987,Convection,23,23BC4,4.4
"Whirlpool 25 L Convection Microwave Oven  (GT-288 (25 L Jet Crisp), Black)",https://www.flipkart.com/whirlpool-25-l-convection-microwave-oven/p/itme3g39wakhht92?pid=MRCE3G37W4GAWJP2&lid=LSTMRCE3G37W4GAWJP2UHRWTS&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_47&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCE3G37W4GAWJP2.SEARCH&ssid=wu09agxz9c0000001686492361328,Whirlpool,10999,15140,27,146,23,Convection,25,GT-288 (25 L Jet Crisp),4.1
"Whirlpool 30 L Convection Microwave Oven  (Magicook Pro 32CE, Black)",https://www.flipkart.com/whirlpool-30-l-convection-microwave-oven/p/itma00245a07a930?pid=MRCFVGQ74HTBPNXK&lid=LSTMRCFVGQ74HTBPNXKXMBOGX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_3_50&otracker=browse&iid=58bb5f6e-b434-4d1a-ba75-706737a29197.MRCFVGQ74HTBPNXK.SEARCH&ssid=kcdjifkahs0000001686492470086,Whirlpool,12990,19500,33,1308,142,Convection,30,Magicook Pro 32CE,4.3
"SAMSUNG 28 L Convection Microwave Oven  (MC28M6036CC, Black)",https://www.flipkart.com/samsung-28-l-convection-microwave-oven/p/itm41fd60ceba3ef?pid=MRCFMTCMRHU2NYTZ&lid=LSTMRCFMTCMRHU2NYTZLIOUR9&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_3_51&otracker=browse&iid=58bb5f6e-b434-4d1a-ba75-706737a29197.MRCFMTCMRHU2NYTZ.SEARCH&ssid=kcdjifkahs0000001686492470086,SAMSUNG,18750,23500,20,75,10,Convection,28,MC28M6036CC,4.3
"IFB 20 L Convection Microwave Oven  (20BC5, Black)",https://www.flipkart.com/ifb-20-l-convection-microwave-oven/p/itmfhyzgvzdkspzc?pid=MRCFHYZGTYYU6DAC&lid=LSTMRCFHYZGTYYU6DACNKPA4R&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_3_53&otracker=browse&iid=58bb5f6e-b434-4d1a-ba75-706737a29197.MRCFHYZGTYYU6DAC.SEARCH&ssid=kcdjifkahs0000001686492470086,IFB,11499,13390,14,119,15,Convection,20,20BC5,4.4
"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SM BLACK, Black)",https://www.flipkart.com/whirlpool-20-l-solo-microwave-oven/p/itmeb6977686f277?pid=MRCFHW7RKVG2ZMCZ&lid=LSTMRCFHW7RKVG2ZMCZNCTEJS&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_3_54&otracker=browse&iid=58bb5f6e-b434-4d1a-ba75-706737a29197.MRCFHW7RKVG2ZMCZ.SEARCH&ssid=kcdjifkahs0000001686492470086,Whirlpool,5999,7500,20,501,57,Solo,20,MAGICOOK PRO 20SM BLACK,4.3
"Haier 30 L Convection Microwave Oven  (HIL3001CBSH, Black)",https://www.flipkart.com/haier-30-l-convection-microwave-oven/p/itmf19d876cddd49?pid=MRCFSZPT2HGHMW35&lid=LSTMRCFSZPT2HGHMW35MOTWJW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_3_55&otracker=browse&iid=58bb5f6e-b434-4d1a-ba75-706737a29197.MRCFSZPT2HGHMW35.SEARCH&ssid=kcdjifkahs0000001686492470086,Haier,15490,23999,35,121,14,Convection,30,HIL3001CBSH,4.5
"BAJAJ 20 L Grill Microwave Oven  (2005ETB, White)",https://www.flipkart.com/bajaj-20-l-grill-microwave-oven/p/itmdxecdgckfhf2g?pid=MRCDXECBFQG8UDFJ&lid=LSTMRCDXECBFQG8UDFJSY07B5&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_3_57&otracker=browse&iid=58bb5f6e-b434-4d1a-ba75-706737a29197.MRCDXECBFQG8UDFJ.SEARCH&ssid=kcdjifkahs0000001686492470086,BAJAJ,7790,10040,22,5559,683,Grill,20,2005ETB,4.2
